Name,Price,Rating,Distance from the centre,Free Cancellation,Prepayment needed,Breakfast included
Saigon City Residence,"VND 12,354,750",5.5,1.1 km from centre,Yes,Yes,No
Dancentre Luxury Apartment Near SECC formerly Emerald Hotel & Apartment,"VND 6,712,065",None,4.9 km from centre,Yes,No,No
LANDMARK 81 CONDOTEL CBD in HCMC,"VND 34,425,000",8.0,3.7 km from centre,No,Yes,No
A25 Hotel - 167 Phạm Ngũ Lão,"VND 9,005,081",8.1,0.5 km from centre,Yes,Yes,Yes
Chez Mimosa Corner - New address 90 Đề Thám,"VND 12,563,100",9.0,0.8 km from centre,Yes,Yes,Yes
Botanic House Saigon,"VND 5,771,250",7.7,250 m from centre,Yes,Yes,No
Tropical House,"VND 4,606,000",7.1,3.1 km from centre,Yes,Yes,No
Hotel L'Odéon Phu My Hung,"VND 9,112,500",7.7,4.6 km from centre,Yes,No,No
ROSA ZEN Hotel Spa,"VND 8,100,000",7.1,0.8 km from centre,Yes,No,Yes
S79 MyMy Hotel 2,"VND 7,387,211",None,3.3 km from centre,Yes,Yes,No
Collection O Havana Airport Hotel,"VND 31,369,647",7.4,5.6 km from centre,No,Yes,No
SILA Urban Living,"VND 23,785,125",9.0,1.4 km from centre,Yes,Yes,No
Nhat Ha L’Opera Hotel,"VND 29,610,000",8.4,1 km from centre,No,Yes,Yes
Chillaxroom,"VND 29,700,000",8.8,1.4 km from centre,Yes,Yes,No
Ben Thanh Inn - M&A,"VND 6,378,750",8.4,450 m from centre,No,Yes,No
Ace Hotel Ben Thanh,"VND 7,424,400",6.3,300 m from centre,Yes,Yes,No
La Airport Tan Binh Hotel,"VND 6,299,996",7.1,5.9 km from centre,No,Yes,No
M&H Lux Hotel,"VND 9,870,000",7.6,200 m from centre,Yes,Yes,No
Lucky Star Hotel - Ben Thanh,"VND 7,181,460",7.1,0.9 km from centre,Yes,No,No
Maison Royale,"VND 4,680,000",9.1,2.4 km from centre,Yes,No,No
Common Inn Thao Dien,"VND 8,668,102",8.6,5.1 km from centre,No,Yes,No
Ben Thanh Station Hotel,"VND 6,435,000",7.8,400 m from centre,Yes,No,No
MDHOTEL 2,"VND 2,532,000",6.9,12 km from centre,Yes,No,No
HANZ 82 Sen Hotel,"VND 4,268,169",1.0,0.6 km from centre,Yes,Yes,No
Capsule Riverside,"VND 5,670,000",7.9,1.1 km from centre,Yes,No,No
Saigon Apartments 2,"VND 4,104,000",9.1,3.3 km from centre,Yes,Yes,No
DREAM HOUSE,"VND 4,320,000",8.8,4.8 km from centre,Yes,No,No
Prague Saigon Airport Hotel,"VND 6,318,000",8.4,5.6 km from centre,Yes,No,No
La Casa Di Dicembre HCMC,"VND 3,995,000",9.0,2.5 km from centre,Yes,No,No
Milestone Premium Boutiqute Hotel,"VND 11,953,980",8.5,200 m from centre,No,Yes,No
"Jessica's home in Soho Recidence, District 1","VND 18,088,000",8.9,0.9 km from centre,Yes,No,No
Ngoc Minh Hotel,"VND 6,480,000",8.0,0.9 km from centre,Yes,No,No
Hotel Initial-Benthanh,"VND 15,588,405",8.8,350 m from centre,Yes,No,No
Phong Lan 2 Hotel,"VND 4,905,601",8.0,11.2 km from centre,No,Yes,No
Ngan Ha 2 Apartment,"VND 12,420,000",9.4,4.4 km from centre,Yes,No,No
Great View Vinh Hoi Apartment,"VND 16,799,314",10,1.8 km from centre,Yes,No,No
Hidden Mansions Saigon Resort,"VND 7,858,620",7.8,9.5 km from centre,No,Yes,No
Thanh Long Hotel - Bach Dang,"VND 8,707,500",8.4,5.5 km from centre,Yes,No,Yes
Thành Vinh Hotel & Apartment,"VND 4,152,970",7.7,9.5 km from centre,No,No,No
The Alley Saigon Hotel,"VND 5,030,100",7.8,0.9 km from centre,Yes,Yes,No
Kansas Hotel & Apartment - Notre Dame,"VND 4,801,680",7.3,1.2 km from centre,Yes,No,No
Start House DORM Walk 5 Minutes to the Airport,"VND 2,880,000",8.3,5.9 km from centre,Yes,No,No
HANZ Saigon Garden Hotel,"VND 4,810,811",1.0,2.9 km from centre,Yes,Yes,No
LILA Hotel & Apartments,"VND 8,748,000",9.2,4.5 km from centre,Yes,No,No
The Rixx Ben Thanh Tower - The One Saigon,"VND 13,770,000",7.0,350 m from centre,Yes,No,No
Saigon Sky Garden Serviced Apartments,"VND 25,200,000",8.9,1.3 km from centre,Yes,No,No
Golden Star Hotel,"VND 10,732,500",7.1,1 km from centre,Yes,No,Yes
The Saigon Central Hotel,"VND 5,520,000",8.9,0.8 km from centre,Yes,No,No
"Cozy studio near Le Van Tam park, Dakao, District 1","VND 4,455,000",9.0,2.1 km from centre,Yes,No,No
Midtown Premium Apartments,"VND 21,606,750",9.2,6 km from centre,Yes,No,No
Gia Hoa Airport Hotel,"VND 4,213,440",7.3,5.6 km from centre,Yes,No,No
Qhome,"VND 6,060,232",7.4,2.2 km from centre,Yes,No,No
Vissai Saigon Hotel,"VND 16,804,260",7.4,4.5 km from centre,Yes,No,No
Thai Van Home,"VND 3,078,000",9.1,4.7 km from centre,Yes,No,No
AHA Residence Hotel,"VND 6,791,040",6.8,3.2 km from centre,Yes,Yes,Yes
Cao Gia Hải,"VND 3,335,400",8.5,7 km from centre,Yes,Yes,No
REDFLOWER HOTEL,"VND 5,624,993",7.5,2.4 km from centre,Yes,No,No
Express by M Village Global City,"VND 5,794,620",9.4,9.1 km from centre,Yes,No,No
Anam Homestay,"VND 8,569,071",9.0,400 m from centre,Yes,No,No
Mersey Central Saigon Apart'Hotel,"VND 8,118,792",8.3,0.6 km from centre,Yes,Yes,No
Van Ha Hotel,"VND 4,163,991",7.2,7 km from centre,Yes,No,No
Cozrum Lux - Sonata Imperial,"VND 5,984,182",8.3,5.1 km from centre,No,Yes,No
Fide Hotel,"VND 7,560,000",9.2,5 km from centre,No,Yes,No
BAP.Homestay,"VND 3,427,200",8.2,9.2 km from centre,No,Yes,No
Lá Hotel Bình Tân,"VND 4,130,995",7.3,9.5 km from centre,No,Yes,No
Anh Thien Sai Gon Central Hotel - District 1,"VND 5,526,900",7.5,450 m from centre,Yes,No,No
Signature Lumiere Stay Riverside - District 2,"VND 12,960,000",10,6.6 km from centre,Yes,No,No
Thanh Long Hotel - Tra Khuc,"VND 8,540,865",8.3,5.2 km from centre,Yes,Yes,Yes
Louis House,"VND 5,488,000",7.8,3.2 km from centre,No,Yes,No
Anna Premier Apartment Ho Chi Minh 2,"VND 4,354,560",8.7,3 km from centre,Yes,No,No
MG Daisy,"VND 3,907,440",9.6,300 m from centre,Yes,No,No
Taibo house 2,"VND 3,180,000",8.2,250 m from centre,Yes,No,No
PIANO HOTEL,"VND 9,180,000",9.0,400 m from centre,Yes,No,No
Bunny - Valentine Hotel - Bui Vien Street,"VND 6,001,875",7.3,0.7 km from centre,Yes,No,No
Sky Gem Central Hotel,"VND 17,134,201",7.9,1 km from centre,Yes,Yes,Yes
"Gold hotel, Saigon","VND 7,071,300",7.9,350 m from centre,Yes,Yes,No
New Space Hotel Airport,"VND 7,262,079",7.1,5.6 km from centre,Yes,Yes,Yes
Cozrum Homes The Gallery Residence,"VND 7,835,838",6.9,4.2 km from centre,No,Yes,No
"Airport pick up free, deal lại giá khi thuê dài hạn","VND 7,722,000",10,1.7 km from centre,Yes,No,No
khách sạn Thiên Cung,"VND 4,996,000",7.2,6.1 km from centre,Yes,No,No
CROWNE BUI VIEN Hotel,"VND 3,367,080",6.9,0.8 km from centre,Yes,No,No
Royal Dragon Boutique Hotel Tan Binh,"VND 10,092,600",8.3,5.1 km from centre,Yes,Yes,No
NEW LAND Apartment 15 - Tan Thuan Tay,"VND 3,529,500",7.4,3.3 km from centre,Yes,No,No
Nhat Ha 1 Hotel,"VND 13,595,305",8.5,250 m from centre,No,Yes,Yes
Vinhomes central park apartments - The central -The park -The landmark,"VND 13,500,001",9.2,3.5 km from centre,Yes,No,No
Amory Hotel Saigon Center,"VND 6,316,000",7.2,1.2 km from centre,Yes,No,Yes
Thuong Hai Hotel,"VND 3,150,000",7.1,4 km from centre,Yes,No,No
Qcub3 Homestay,"VND 6,156,000",9.0,1.5 km from centre,Yes,No,No
A25 Hotel - 307 Lý Tự Trọng,"VND 8,551,349",8.1,450 m from centre,Yes,Yes,Yes
Spacious Apartment in District 7,"VND 39,690,000",7.5,2.9 km from centre,No,Yes,No
Premium Home City View - Free Airport Pick Up,"VND 10,174,500",9.0,1.8 km from centre,Yes,No,No
SONG APARTMENT 1,"VND 4,500,000",8.4,4.5 km from centre,Yes,No,No
AnThai Saigon Hotel,"VND 13,320,000",7.1,300 m from centre,Yes,Yes,Yes
Le Fig Home,"VND 4,500,000",8.5,1.7 km from centre,Yes,No,No
VND HOTEL,"VND 3,115,200",4.8,4 km from centre,Yes,No,No
Thai Van Home,"VND 3,402,000",9.1,4.7 km from centre,No,Yes,No
Covent Garden Hotel,"VND 8,820,000",8.4,400 m from centre,Yes,Yes,No
Cozrum Homes - Saphera Residence,"VND 4,620,510",6.6,1.5 km from centre,No,Yes,No
Anh Duy Hotel - Nguyễn Công Trứ The Bitexco Neighbour,"VND 4,273,335",7.1,0.5 km from centre,Yes,No,No
Elite Landmark Plus Saigon Riverside,"VND 10,584,000",7.5,3.6 km from centre,Yes,No,No
Scenic Valley Suite,"VND 16,353,815",7.9,4.9 km from centre,No,Yes,No
Saigon Sirius,"VND 9,386,000",8.5,1 km from centre,Yes,Yes,No
Khách Sạn Hoàng Hà,"VND 3,150,000",6.8,2.9 km from centre,Yes,No,No
Spring Airport Hotel,"VND 4,950,000",7.1,5.6 km from centre,Yes,No,No
The Airport Hotel,"VND 7,110,180",7.1,5.6 km from centre,Yes,No,Yes
B-HOMEAWAY,"VND 3,420,000",5.4,1.4 km from centre,Yes,No,No
Affordable Homestay,"VND 2,700,000",7.5,1.3 km from centre,Yes,No,No
Belvilla Comfort Stays Near SECC formerly Cozy Hotel,"VND 5,614,604",7.4,4.4 km from centre,Yes,Yes,No
Mira Moon - Calmette,"VND 7,866,000",8.3,0.5 km from centre,Yes,Yes,No
Bonita Grand Hotel,"VND 4,104,000",7.4,2.7 km from centre,Yes,No,No
Start House COLIVING Walk 5 minute to the airport,"VND 6,120,000",8.4,5.9 km from centre,Yes,No,No
Soho Apartments - 5-Min-Waling To HCMC Heart,"VND 8,323,500",7.5,1 km from centre,Yes,No,No
Romance Hotel,"VND 5,050,000",9.8,12.6 km from centre,No,No,No
A25 Hotel - 75 Lê Thị Hồng Gấm,"VND 8,373,199",8.0,350 m from centre,Yes,Yes,Yes
NGAN HA Hotel,"VND 3,330,000",7.3,3.9 km from centre,Yes,No,No
YÊN HOUSE,"VND 3,450,000",8.0,4.6 km from centre,Yes,No,No
Bien Sao Hotel,"VND 3,354,884",10,9.3 km from centre,No,Yes,No
The Dragon Gold Landmark - Ho Chi Minh City,"VND 11,025,000",10,3.6 km from centre,Yes,No,No
Vinhomes Central Park Apartment - Landmark Plus Luxury,"VND 15,078,456",10,3.5 km from centre,Yes,No,No
Collection O District 10 Near Van Hanh Hospital Formerly Lan Rung Hotel,"VND 7,085,351",8.7,2.9 km from centre,Yes,No,No
MAY'S HAPPY HOUSE,"VND 4,491,000",9.2,5.3 km from centre,Yes,No,No
Hue My Hotel,"VND 5,997,600",8.0,3.6 km from centre,No,Yes,No
Nikko Hotel - The Classy Life,"VND 9,582,300",9.4,5.1 km from centre,Yes,No,No
Vyan Lux Hotel,"VND 8,100,000",8.1,8 km from centre,Yes,No,No
Cozy studio in Phu Nhuan District near District 1,"VND 4,491,000",9.4,4 km from centre,Yes,No,No
Saigon Chill Hostel,"VND 9,900,000",8.9,0.5 km from centre,Yes,No,Yes
An Corner - Apartment Vinhomes Central Park,"VND 12,617,451",8.6,3.5 km from centre,Yes,No,No
Ohio Hotel & Apartment,"VND 6,239,025",7.0,1.7 km from centre,No,No,No
LalaHouse Riverside Residence,"VND 4,394,250",8.5,2.3 km from centre,Yes,No,No
Hoa Phat Hotel & Apartment,"VND 8,059,500",7.7,8.9 km from centre,Yes,No,No
Four P Apartment Binh Thanh,"VND 4,928,036",8.7,2.3 km from centre,Yes,No,No
Spotlight Hotel,"VND 5,265,000",7.7,1.1 km from centre,Yes,Yes,Yes
Saigon Luxury Hotel,"VND 8,037,000",8.4,0.6 km from centre,No,Yes,No
Beautiful Buivien Hotel,"VND 4,584,000",5.3,0.6 km from centre,Yes,No,No
căn hộ Lý Chính Thắng,"VND 4,500,000",8.9,2.2 km from centre,Yes,No,No
Premium Hotel Lumiere,"VND 7,249,500",7.7,450 m from centre,Yes,No,No
Grand Matterhorn Hotel,"VND 6,129,270",8.1,0.8 km from centre,No,Yes,No
Sunrise City View,"VND 10,692,000",8.0,3 km from centre,No,Yes,No
Cozrum Homes - Selina Residence,"VND 5,299,360",6.4,3 km from centre,No,Yes,No
A&E Guesthouse,"VND 4,455,000",8.7,0.9 km from centre,Yes,No,No
NTA Hotel - Serviced Apartments,"VND 39,600,000",8.8,1.8 km from centre,Yes,No,No
Sunrise City 3 Bed Room Full Furniture,"VND 25,875,000",7.0,3.2 km from centre,Yes,No,No
Otis Aparthotel Phu Nhuan Rooftop View,"VND 5,508,000",8.3,3.5 km from centre,Yes,No,No
Ngọ house,"VND 3,600,000",8.0,4.9 km from centre,Yes,No,No
GEM Apartment,"VND 9,072,405",8.8,7.2 km from centre,No,Yes,No
Happy Home,"VND 4,475,030",8.2,4.2 km from centre,No,Yes,No
CÁT PHÚC HOTEL,"VND 3,600,500",8.0,6.7 km from centre,Yes,No,No
Morden LeParc Hotel & Spa,"VND 6,925,500",8.2,300 m from centre,No,Yes,No
The Vinhomes Central Park Apartments - The Buildings Surrounding Landmark 81,"VND 13,500,001",9.0,3.5 km from centre,Yes,No,No
Kandy in Rivergate Luxury Apartment - near Ben Thanh market,"VND 15,150,000",8.9,1 km from centre,Yes,No,No
LANDMARK 81 - Vinhome Central Park,"VND 26,662,500",4.5,3.7 km from centre,Yes,Yes,No
New Sunny 1 Hotel Q7 by BAY LUXURY,"VND 12,708,900",10,4.6 km from centre,No,Yes,No
Sài Gòn Hotel Bình Tân,"VND 4,599,000",7.8,8.8 km from centre,Yes,No,No
Vania House,"VND 4,860,000",8.7,7.7 km from centre,Yes,No,No
B & K Hotel - District 10,"VND 4,560,900",7.0,3.8 km from centre,Yes,No,No
The Landmark And The Park Luxury Apartment of Vinhomes,"VND 13,500,000",10,3.5 km from centre,Yes,No,No
Sky House,"VND 3,204,000",9.4,1 km from centre,No,Yes,No
M Village Living Lê Văn Sỹ,"VND 7,806,240",8.6,3 km from centre,No,Yes,No
Hotel Trung Mai-Tân Bình,"VND 3,220,000",8.3,5.8 km from centre,Yes,No,No
Masteri Thao Dien,"VND 10,935,000",8.1,5.6 km from centre,Yes,No,No
An Bình Hotel,"VND 4,078,980",9.0,13.5 km from centre,Yes,No,No
Lucy House - Lunaria Maison Ltd,"VND 3,582,612",7.4,1.4 km from centre,No,Yes,No
Sunny Guesthouse2,"VND 6,480,000",8.5,0.8 km from centre,Yes,Yes,No
"Le House - 1 Btw airport and D1 center, fast wifi and check-in 24-7","VND 3,231,900",8.7,4.1 km from centre,Yes,No,No
Sabina Residence - Stellar Boutique Hotel,"VND 9,485,082",8.8,4.6 km from centre,Yes,No,Yes
Express by M Village Điện Biên Phủ Q3,"VND 7,965,360",7.9,1.7 km from centre,Yes,No,No
Haven Hut Riverside Hotel,"VND 4,929,824",8.1,2.2 km from centre,Yes,Yes,No
"Khánh Nguyễn Luxury Apartment, balcony street view, large bathtub","VND 7,199,991",9.4,5.7 km from centre,Yes,No,No
Ola's Home,"VND 3,420,000",9.7,6.5 km from centre,Yes,No,No
Cherry Central Hotel- Near Opera House,"VND 8,055,450",7.4,1.1 km from centre,Yes,No,Yes
Warm Nest,"VND 4,890,600",9.2,3.7 km from centre,Yes,Yes,No
Central Apartel-SG's Heart & Ben Thanh Market Area,"VND 9,000,000",9.6,0.5 km from centre,Yes,No,No
LalaHouse Summer Park,"VND 8,143,190",7.5,3.6 km from centre,No,Yes,No
Ngõ Saigon Homestay,"VND 3,690,000",8.2,0.8 km from centre,Yes,No,No
The Vinhomes apartments - The Buildings Nearby Landmark 81,"VND 13,500,000",10,3.5 km from centre,Yes,No,No
Khách sạn Bamboo Sài gòn,"VND 7,938,000",7.3,3.6 km from centre,Yes,No,Yes
Nguyen Le Home & Coffee,"VND 11,376,000",9.9,1.9 km from centre,Yes,No,No
Thao Dien Coliving,"VND 4,050,000",9.4,5.2 km from centre,Yes,No,No
HANAN home at Saigon downtown,"VND 11,340,000",8.6,0.9 km from centre,Yes,No,No
Loan Võ hostel,"VND 7,209,000",9.0,0.6 km from centre,Yes,No,No
Homestay 37 AD,"VND 3,240,000",9.1,4.2 km from centre,Yes,No,No
"Chill 1BR Lexington with bathtub near Estella, D2","VND 10,395,000",9.1,6.6 km from centre,Yes,Yes,No
Lè Métropole Saigon,"VND 19,237,500",7.6,1.7 km from centre,No,Yes,No
Chotel Ben Thanh,"VND 10,699,425",7.9,0.8 km from centre,No,Yes,No
Mơ Mơ Residence,"VND 6,220,000",9.2,3.3 km from centre,Yes,No,No
TN Central Hotel,"VND 4,800,000",6.0,0.9 km from centre,Yes,No,No
MG Rosé Boutique Hotel,"VND 4,490,180",7.6,0.9 km from centre,Yes,No,No
Bi Saigon Hotel,"VND 5,737,500",7.2,0.6 km from centre,Yes,No,No
Trường Chính Sách Công Và Phát Triển Nông Thôn,"VND 5,686,200",7.7,1.6 km from centre,No,Yes,No
Jasmine Hotel,"VND 5,794,875",8.4,0.9 km from centre,Yes,No,No
Cozrum - Love Hotel Trần Thị Nghỉ,"VND 3,306,005",9.0,6.5 km from centre,No,Yes,No
SAZI BEN THANH Hotel HCM,"VND 14,384,304",7.1,150 m from centre,Yes,Yes,No
SAZI Church View Home HCM,"VND 7,708,800",7.0,1 km from centre,Yes,Yes,No
Andy's House,"VND 5,278,500",8.3,1.4 km from centre,Yes,Yes,No
Homestay Fairy's House,"VND 2,520,000",8.1,3.8 km from centre,Yes,No,No
Rooms House,"VND 6,006,000",10,3.4 km from centre,Yes,No,No
Thao Dien Apartment,"VND 7,087,500",8.0,5.2 km from centre,Yes,No,No
Bin Bin Hotel 7 - Near TON DUC THANG University,"VND 6,466,800",8.3,3 km from centre,Yes,No,No
Kim's studio,"VND 3,296,700",9.0,1.4 km from centre,Yes,No,No
HANZ Saigon Garden Hotel,"VND 4,810,811",None,3.1 km from centre,Yes,Yes,No
My Villa Hotel - Airport,"VND 8,550,000",6.1,5.5 km from centre,Yes,No,No
Hotel GreenRiver,"VND 8,415,000",8.4,300 m from centre,Yes,No,No
DLux Saigon Condo,"VND 4,140,000",6.0,3.3 km from centre,Yes,No,No
CT apartment at Rivergate residence D4,"VND 12,825,000",8.8,1 km from centre,Yes,No,No
MQ Apartment District 1,"VND 4,746,519",8.4,1.7 km from centre,Yes,Yes,No
BA TAM VU SUA Homestay,"VND 8,634,843",9.1,1.8 km from centre,Yes,Yes,No
THANH TAI HOTEl 1,"VND 4,764,708",8.3,9.1 km from centre,Yes,No,Yes
Cozy Haven Apartment - Vinhomes Central Park,"VND 11,310,975",9.7,3.5 km from centre,Yes,No,No
Ahu Homestay,"VND 3,207,600",8.2,0.7 km from centre,Yes,No,No
Mai Guest House,"VND 3,150,000",7.9,0.8 km from centre,Yes,No,No
Express by M Village Nguyễn Văn Thủ,"VND 8,934,120",8.6,1.7 km from centre,No,Yes,No
Gemini Saigon BOUTIQUE,"VND 5,158,012",7.2,0.7 km from centre,Yes,No,No
StayX Condotel scenic valley 2,"VND 14,850,000",9.7,5 km from centre,Yes,No,No
ThanhLong HOSTEL & DROM,"VND 2,655,000",7.2,0.9 km from centre,Yes,No,No
Saigon CBD Apartment - Infinity Pool,"VND 9,450,000",9.4,1 km from centre,Yes,Yes,No
Vinhomes central park Lotus apartment - Căn hộ dịch vụ cho thuê,"VND 9,830,400",9.2,3.6 km from centre,Yes,No,No
WIN hotel & Apartment,"VND 3,967,380",9.6,4.4 km from centre,Yes,No,No
Michael Apartment Scenic Valley,"VND 15,264,000",7.4,5.6 km from centre,No,Yes,No
Lucky hotel,"VND 3,105,000",7.6,9 km from centre,No,Yes,No
Landmark 81 Luxury Romantic Apartment,"VND 49,005,000",10,3.5 km from centre,Yes,No,No
Hotel thanh vinh,"VND 3,600,000",7.9,3.8 km from centre,Yes,No,No
Midtown Apartments by Saigon - Phú Mỹ Hưng,"VND 21,607,560",9.0,6.1 km from centre,Yes,No,No
Edoya hotel Dong Khoi,"VND 11,160,000",8.1,1 km from centre,Yes,Yes,No
Urban Escape in Central Park,"VND 13,500,000",10,3.5 km from centre,Yes,No,No
Sunny Romantic Apartment Saigon,"VND 9,057,600",7.2,3.8 km from centre,Yes,No,No
Elegant Feel Inn - M&A,"VND 4,989,600",7.9,450 m from centre,Yes,No,No
Linh Ngọc Châu Hotel,"VND 2,534,135",8.8,12.3 km from centre,Yes,No,No
LUCASTA SAIGON Hotel,"VND 8,955,000",8.0,2.1 km from centre,Yes,No,No
MQ Village - Sky View Homestay,"VND 5,474,015",9.0,2.8 km from centre,Yes,Yes,No
Saigon Rooftops Hostel,"VND 12,240,000",9.2,1.2 km from centre,Yes,Yes,No
Thuỳ Trang Hotel,"VND 2,821,500",6.9,10.4 km from centre,Yes,No,No
Cali Homestay,"VND 4,607,280",8.4,4.1 km from centre,No,No,No
HANZ T68 Hotel Saigon,"VND 4,822,211",None,9.8 km from centre,Yes,Yes,No
The Western Capital Apartment,"VND 6,196,500",7.3,8.6 km from centre,No,Yes,No
Ohana Hotel - Near Bitexco,"VND 5,044,500",7.2,0.5 km from centre,Yes,Yes,No
QUANG SAIGON Hotel- 40-7 Bùi Viện-Walking street,"VND 5,557,500",7.8,0.6 km from centre,Yes,Yes,No
"HCMC Apartel - Bui Vien Street Area, Central Location","VND 11,054,250",9.7,1 km from centre,Yes,No,No
M Village Living Hoàng Văn Thụ,"VND 7,898,670",8.6,4.2 km from centre,No,Yes,No
Line Hotel,"VND 4,570,000",8.3,0.9 km from centre,Yes,No,No
LalaHouse Spring Apartment - Saigon Center,"VND 8,943,129",8.4,450 m from centre,Yes,Yes,No
Cityhouse - LightHouse SG,"VND 10,732,500",8.3,1.2 km from centre,Yes,No,No
M Village Hotel Premier Thi Sách,"VND 13,806,000",8.6,1 km from centre,Yes,No,No
Hotel Eros - Phan Huy Ích,"VND 3,111,000",7.7,10.1 km from centre,Yes,No,No
"IMPERIAL PLACE - NATURAL POEM View đẹp - hồ bơi, gym miễn phí","VND 4,536,000",8.8,10.5 km from centre,Yes,No,No
Sabina Boutique Hotel 2,"VND 16,992,990",8.5,4.6 km from centre,No,Yes,Yes
Alagon D'antique Hotel & Spa,"VND 17,065,874",8.3,450 m from centre,Yes,Yes,Yes
ICASA Serviced Apartment,"VND 8,712,000",8.8,5.4 km from centre,Yes,No,No
Luxury apartment at central,"VND 15,714,000",10,2.1 km from centre,Yes,No,No
GRAND HOTEL du LAC Boutique Saigon,"VND 28,431,000",9.8,200 m from centre,No,Yes,Yes
Bin Home near Airport,"VND 4,725,000",8.0,5.3 km from centre,Yes,No,No
Khách Sạn Hải Miên,"VND 3,540,555",6.0,7.2 km from centre,Yes,Yes,No
Elvita Landmark Luxury Residence,"VND 15,592,500",6.3,3.6 km from centre,Yes,Yes,No
Huong Mai Ga Sai Gon,"VND 4,950,000",7.5,2.4 km from centre,Yes,No,No
Căn hộ tách bếp đầy đủ nội thất,"VND 6,840,000",9.8,2.1 km from centre,Yes,No,No
YÊN LIVING BÌNH THẠNH,"VND 10,098,000",8.7,3.1 km from centre,Yes,Yes,No
Ly Ly Hotel 2,"VND 11,403,000",8.9,10 km from centre,Yes,No,No
Baoanh Hostel,"VND 3,357,000",8.9,0.7 km from centre,Yes,No,No
Đông Như 5 Hotel,"VND 5,130,000",8.5,8.8 km from centre,Yes,No,No
The Hammock Hotel Global City,"VND 6,998,400",8.7,8 km from centre,No,No,Yes
Helios Riverside Apartment,"VND 22,032,000",6.9,1 km from centre,Yes,No,No
Golden Uc Chau House & Spa,"VND 3,213,000",6.8,2.8 km from centre,Yes,No,No
Kim Apartment - Cozy 1BR for Couples in Thảo Điền,"VND 6,320,160",9.9,5.2 km from centre,No,Yes,No
Landmark Plus Condotel Suite,"VND 12,811,920",8.3,3.7 km from centre,Yes,No,No
Diamond Boutique Hotel,"VND 6,454,688",7.5,4.5 km from centre,Yes,No,No
CIRCADIAN Industrial Studios on Nguyen Hue,"VND 10,899,008",8.9,0.7 km from centre,Yes,Yes,No
Thanh Binh Premium Hotel,"VND 3,600,000",8.0,9.1 km from centre,Yes,No,No
Vinhomes Apartments Serviced,"VND 11,173,032",8.6,3.5 km from centre,Yes,No,No
S79 Residences 345AB Apartment,"VND 4,719,644",10,1.5 km from centre,Yes,Yes,No
CIRCADIAN Serene Two-Bedroom Apartment,"VND 14,167,616",9.4,2 km from centre,Yes,Yes,No
Elisa Boutique Saigon Hotel,"VND 7,128,000",8.0,4.2 km from centre,Yes,No,No
Cupid Hotel 2,"VND 4,999,500",8.2,3 km from centre,Yes,No,No
Minh Tam Hotel and Spa,"VND 5,702,400",7.4,6.6 km from centre,No,Yes,No
Hoa My Hotel,"VND 2,044,845",6.8,8.2 km from centre,Yes,No,No
Nam Hy 1 Hotel,"VND 6,300,000",9.0,3 km from centre,Yes,No,No
Motel Victoria,"VND 5,737,500",6.5,5.8 km from centre,Yes,No,No
Akari happy home,"VND 7,695,000",10,11.4 km from centre,Yes,No,No
Four P Homestay Binh Thanh,"VND 5,565,780",8.8,2.4 km from centre,Yes,Yes,No
Lucky Home - Căn hộ 2 phòng ngủ ngay siêu thị Aeon Mall Tân Phú đầy đủ nội thất và có Internet,"VND 11,299,500",9.4,9.6 km from centre,Yes,No,No
Giang Hotel,"VND 2,718,000",6.5,0.6 km from centre,Yes,No,No
S79 Residences Yaya Bui Vien,"VND 5,808,392",None,0.6 km from centre,Yes,Yes,No
Long Home 2 - B01,"VND 3,645,000",7.4,2.4 km from centre,Yes,Yes,No
M Village Hotel Tôn Thất Đạm,"VND 17,220,000",8.5,500 m from centre,Yes,No,No
SAZI RESIN HOTEL Bui Thi Xuan,"VND 10,611,040",6.7,0.8 km from centre,Yes,No,No
S Lux Apartment 5 mins walking in central,"VND 11,182,500",9.6,1 km from centre,Yes,No,No
The HUB Hotel - Airport,"VND 12,247,200",8.6,5 km from centre,Yes,No,Yes
Cỏ homestay SaiGon,"VND 6,639,075",8.6,1 km from centre,Yes,No,No
S79 Residences Yaya,"VND 5,488,931",None,0.5 km from centre,Yes,Yes,No
Khách Sạn Vy Hà,"VND 2,880,000",6.5,4.1 km from centre,Yes,No,No
Feli Home 1 - Close to Landmark 81,"VND 2,896,800",7.2,3.4 km from centre,Yes,No,No
Sky Center Near Airport,"VND 5,850,000",7.5,5.2 km from centre,Yes,No,No
Arista 5 - Serviced Apartment,"VND 5,272,000",7.5,1.4 km from centre,Yes,No,No
THANH NGỌC HOTEL,"VND 3,280,500",4.1,4.8 km from centre,No,Yes,No
M Village Hotel Lý Tự Trọng,"VND 12,425,400",8.8,350 m from centre,No,Yes,No
Thao Nhi Hotel,"VND 4,950,000",8.2,0.6 km from centre,Yes,No,No
Vinhomes Luxury Haven,"VND 13,500,000",10,3.5 km from centre,Yes,No,No
Thanh Lan Hotel,"VND 4,230,000",7.6,4 km from centre,Yes,No,No
5H Garden,"VND 6,075,000",8.7,3.9 km from centre,Yes,No,No
Vinhomes Urban Oasis,"VND 13,500,000",10,3.5 km from centre,Yes,No,No
The One Sai Gon,"VND 17,100,000",8.5,300 m from centre,Yes,No,No
Homestay Four P Phu Nhuan,"VND 5,579,725",8.8,3.7 km from centre,Yes,Yes,No
